ipv4,asn
14.97.104.0/21,45820
14.97.112.0/21,45820
14.97.120.0/21,45820
14.97.124.0/24,45820
14.97.125.0/24,45820
14.97.126.0/24,45820
14.97.127.0/24,45820
14.97.128.0/21,45820
14.97.136.0/21,45820
14.97.144.0/21,45820
14.97.152.0/21,45820
14.97.160.0/21,45820
14.97.168.0/21,45820
14.97.176.0/21,45820
14.97.184.0/21,45820
14.97.192.0/21,45820
14.97.200.0/21,45820
14.97.208.0/21,45820
14.97.216.0/21,45820
14.97.224.0/21,45820
14.97.228.0/24,45820
14.97.232.0/21,45820
14.97.240.0/21,45820
14.97.248.0/21,45820
14.98.0.0/24,45820
14.98.1.0/24,45820
14.98.2.0/24,45820
14.98.3.0/24,45820
14.98.4.0/24,45820
14.98.5.0/24,45820
14.98.6.0/24,45820
14.98.7.0/24,45820
14.98.8.0/24,45820
14.98.9.0/24,45820
14.98.10.0/24,45820
14.98.11.0/24,45820
14.98.12.0/24,45820
14.98.13.0/24,45820
14.98.14.0/24,45820
14.98.15.0/24,45820
14.98.16.0/24,45820
14.98.17.0/24,45820
14.98.18.0/24,45820
14.98.19.0/24,45820
14.98.20.0/24,45820
14.98.21.0/24,45820
14.98.22.0/24,45820
14.98.23.0/24,45820
14.98.24.0/24,45820
14.98.25.0/24,45820
14.98.26.0/24,45820
14.98.27.0/24,45820
14.98.28.0/24,45820
14.98.29.0/24,45820
14.98.30.0/24,45820
14.98.31.0/24,45820
14.98.32.0/24,45820
14.98.33.0/24,45820
14.98.34.0/24,45820
14.98.35.0/24,45820
14.98.36.0/24,45820
14.98.37.0/24,45820
14.98.38.0/24,45820
14.98.39.0/24,45820
14.98.40.0/24,45820
14.98.41.0/24,45820
14.98.42.0/24,45820
14.98.43.0/24,45820
14.98.44.0/24,45820
14.98.45.0/24,45820
14.98.46.0/24,45820
14.98.47.0/24,45820
14.98.48.0/24,45820
14.98.49.0/24,45820
14.98.50.0/24,45820
14.98.51.0/24,45820
14.98.52.0/24,45820
14.98.53.0/24,45820
14.98.54.0/24,45820
14.98.55.0/24,45820
14.98.56.0/24,45820
14.98.57.0/24,45820
14.98.58.0/24,45820
14.98.59.0/24,45820
14.98.60.0/24,45820
14.98.61.0/24,45820
14.98.62.0/24,45820
14.98.63.0/24,45820
14.98.64.0/24,45820
14.98.65.0/24,45820
14.98.66.0/24,45820
14.98.67.0/24,45820
14.98.68.0/24,45820
14.98.69.0/24,45820
