asn,name,country
58671,TTNETWORK-IN Thirumala Tripleplay Network,IN
58678,INTECHONLINE-IN Intech Online Private Limited,IN
58693,NNI NNI,IN
58700,SPICEDIGITALAPNIC-IN Spice Digital Ltd.,IN
58702,NCODE-IN nCode Solutions - A Division of GNFC Ltd.,IN
58703,AMRITANET-IN Amrita Vishwa Vidyapeetham,IN
58725,ZYETELECOM-IN ZYE TELECOM PVT LTD,IN
58758,TIFR-AS Tata Institute of Fundamental Research,IN
58759,ARTECHINFO-AS-IN Artech Infosystems Pvt Ltd,IN
58760,VIBRANT-AS Finecom Internet services Pvt Ltd,IN
58761,RECHARGEITNOWASIN Online Recharge Services Pvt Ltd,IN
58762,CANDOR-AS-IN Candor infosolution Pvt Ltd,IN
58763,BALAJIS-AS-IN Balaji Services,IN
58764,PIPETEL-AS-IN Pipetel Communications Pvt Ltd,IN
58765,BITTEL-AS Bittel Telecom Pvt Ltd,IN
58766,VOIP-AS-IN VOIP COMMUNICATIONS PVT LTD,IN
58767,QCPLDIGITAL-AS-IN Digital Network,IN
58872,FUJITSU-IN Fujitsu Consulting India Pvt Ltd,IN
58875,FUJITSU-AS-AN Fujitsu Consulting India Pvt Ltd,IN
58880,ECHIDNAINC-IN Echidna Software Pvt. Ltd,IN
58897,JAINTV-AS-IN Jain Studios Ltd,IN
58898,RAINBOWISP-AS Rainbow communications India Pvt Ltd,IN
58899,NIXI-AS-IN National Internet Exchange of India,IN
58900,UTTAMINFRANET-AS UTTAM INFRANET PRIVATE LIMITED,IN
58901,PACEINTERNET-AS-IN PACE INTERNET,IN
58902,IMPETUS-AS-IN Impetus Infotech India Pvt Ltd,IN
58903,RWSPL-AS Royal Wireless Services Pvt Ltd.,IN
58904,KOONK-AS-IN KOONK TECHNOLOGIES PRIVATE LIMITED,IN
58905,ADWISERASIN Ad Wiser,IN
58906,SIPL-AS Shivansh Infotech pvt Ltd,IN
58909,ISSPL-IN IBEE Software Solutions Pvt. Ltd.,IN
58925,WIIPL-IN Way2online Interactive India Pvt Ltd,IN
58949,ICNCL-IN Indian Cable Net Company Limited,IN
58954,LIPL-IN LEARNSOCIAL.COM INDIA PRIVATE LIMITED,IN
58963,INFONET-AS-IN Infonet online solutions private limited,IN
58964,IGIGLEASIN IGIGLE HOST,IN
58965,ABSPL-AS-IN ANJANI BROADBAND SOLUTIONS PVT.LTD.,IN
58966,BENCHMARK-AS-IN Benchmark Infotech Services Pvt.Ltd.,IN
58967,ROSPL-AS-IN RSBS ONLINE SERVICES PRIVATE LIMITED,IN
58969,KCCL-AS Kerala Communicators Cable Limited,IN
58971,SHINECOM-AS Shine Communications Pvt Ltd,IN
58972,BHOMIKA-AS BHOMIKA,IN
58976,SOPHOS-AS-AP Sophos Technologies Pvt. Ltd,IN
58984,DKPL-IN DIGITAL KITES PRIVATE LIMITED,IN
58986,IDLE2-IN IDLE ANTS MEDIA PRIVATE LIMITED,IN
58990,HEPL-IN HYSEC EXIM PRIVATE LIMITED,IN
59161,DNETWORKS-AS Dnetworks Internet Services Pvt. Ltd.,IN
59162,UPCSPL-AS-IN U.P. COMMUNICATION SERVICES PVT LTD,IN
59163,GLAU-AS-IN GLA University,IN
59164,APOLLOONLINE-AS Apollo Online Services Pvt ltd,IN
59165,AUSPICE-AS Auspice Infratel Pvt. Ltd.,IN
59166,SAYDATAAS SAY DATA Solutions,IN
59167,HELM-AS Helm consultants pvt ltd,IN
59168,CHANNEL9-AS-IN CHANNEL9 CABLE NETWORK,IN
59169,KNDG-AS KNGD INFOSYS PVT LTD,IN
59170,WALLDEPOT-AS Wall Depot Telecom Sevices Ltd,IN
59171,MATRIXTECHLABS-AS-IN Matrix Tech Labs,IN
59172,DECCANIX-AS DECCAN CYBER FOUNDATION,IN
59173,IQTERA-AS-IN Iqtera Communication Pvt Ltd,IN
59174,CATLA-AS-IN Catla IT and Engg.Co.Pvt.Ltd.,IN
59175,NECONN-AS-IN Shreenortheast Connect And Services Pvt Ltd,IN
59176,LEE-AS-IN Netmagic IT Services Pvt Ltd,IN
59177,POWERGRID-AS Power Grid Corporation of India Limited,IN
59178,VCON-AS-IN Vcon Mobile And Infra Private Limited,IN
59179,MINS-AS MINS Technologies Private Limited,IN
59180,GLOBALFIRST-AS GLOBAL FIRST,IN
59181,NIXI-IN-AS National Internet Exchange of India,IN
59182,NIXI-IN-AS National Internet Exchange of India,IN
59183,CORREL-AS-IN Correl IT Services Pvt Ltd,IN
59184,CLOUDOPS-AS Cloud Operation Pvt Ltd,IN
59185,NETRUN-AS-IN NETRUN TECHNOLOGIES PVT LTD,IN
59186,PRIMECAST-AS-IN PRIMECAST TELECOM INDIA PRIVATE LIMITED,IN
59187,NEEVAI-AS-IN NEEVAI SUPERCLOUD PVT LTD,IN
59188,INDIANOIL-AS IndianOil Corporation Limited,IN
59191,PEERCAST-AS-IN PEERCAST TELECOM INDIA PVT LTD,IN
59193,D3079306AFIN-AS IIT Hyderabad,IN
59194,CBOI-AS Central Bank of India,IN
59195,IEX-AS Indian Energy Exchange Ltd,IN
59196,FBNET FUTURE NETSANCHAR LIMITED,IN
59197,BRBNMPL-AS Bharatiya Reserve Bank Note Mudran Pvt. Ltd.,IN
59198,LUKUP001AS Lukup Media Pvt Ltd.,IN
59215,CWPL-IN CrudeArea Web Private Limited,IN
59216,JRCPL-IN Juxt Consult Research and Consulting Pvt. Ltd.,IN
59221,FMPL-AS-AP FITH Media Private Limited,IN
59222,REDFOX3-AS-AP RedFox Teleservices Pvt LTd,IN
59261,TRIJITNET-DC-IN TRIJIT TECHNOLOGIES PVT LTD,IN
59319,MTNL-IN Mahanagar Telephone Nigam Limited,IN
59327,ATSPL-IN ADVANCED TECHPRO SERVICES PRIVATE LIMITED,IN
59329,HVPL-IN HOMELAND VENTURES PRIVATE LIMITED,IN
59331,SNMPL-IN SAILOR NETWORK MARKETING PRIVATE LIMITED,IN
59335,TRIJITNET-DC TRIJIT TECHNOLOGIES PVT. LTD.,IN
59336,HAPL-IN HOMELAND AVENUES PRIVATE LIMITED,IN
63847,WINZET-IN WINZET,IN
63935,MSBSPL-IN Mu Sigma Business Solution Private Ltd,IN
64060,PPTPL-AS-AP PIPE PRO TECHNOLOGIES PRIVATE LIMITED,IN
64071,DCPL-IN DEV COLLECTION PRIVATE LIMITED,IN
64088,BIOCLINICA-AS-AP ioClinica India Private Limited,IN
131181,SIXTYTHREEMOONS-AS-IN 63 Moons Technologies Limited,IN
131215,SANCHARONLINE-IN 116 MADHAV DARSHAN,IN
131223,NETMAGIC-AS-AP NetMagic Solutions Pvt Ltd,IN
131226,IITR-AS-AP Indian Institute Of Technology Roorkee,IN
131232,ADPPRIVATELIMITED-IN ADP Private Limited,IN
131235,SYNTELNET-IN Unit 69 SDF III,IN
131250,TCISL-AS-AP TATA Communications Internet Services Ltd,IN
131256,MGRM-IN MGRM DIGITAL CLOUD SERVICES PRIVATE LIMITED,IN
131262,KELNET-AS-AP Kelnet Communication Services P Ltd.,IN
131263,SQSINDIABFSI-IN SQS INDIA BFSI LIMITED,IN
131265,TCS-ESERVE-AS-AP TCS eServe Limited,IN
131269,BEAMTELE-AS-AP ACTFIBERNET Pvt Ltd,IN
131277,DVOIS-AS-AP D-VoiS Broadband Private Limited,IN
131283,HDFCBANK-IN HDFC Bank House,IN
131299,TNPL-AS-AP tornado net private limited,IN
131302,EDELWEISS-IN 2943 Vidhya Nagari Marg,IN
131308,NXC-IN NetX Communications,IN
131317,TTSLMEIS-IN TTSL-ISP DIVISION,IN
131442,DIGITALNETWORK-IN Digital Network Associates Pvt Ltd,IN
131453,WEBWERKS-IN ThePort.in,IN
131458,WILLIAMSLEA-AS-AP WILLIAMS LEA INDIA PRIVATE LIMITED,IN
131463,STN-COMM5-IN STN COMMUNICATION &amp; ADVERTISING PVT LTD,IN
131468,LIVES1-IN Livestream Technologies Private Limited,IN
131473,SRMU-GROUP-IN SRM Nagar,IN
131787,KELTRON-IN Keltron House,IN
131788,FUTURINT-IN FUTURISTIC INTERNET SERVICES PRIVATE LIMITED,IN
131997,VOVINET-IN Vovinet Broadband Private Limited,IN
132004,TOUCHNET-IN Touch Net India Pvt. Ltd.,IN
132028,ASPIRESYS-NET-IN Aspire Systems India Private Ltd,IN
132043,MHSDC2011-AS 4th Floor New Administrative Building,IN
132051,AIRITINDIA-IN Esto Internet private limited,IN
132075,TMBS-IN Tech Mahindra Business Services Limited,IN
132090,MSPL-AS-AP Mify Solutions Pvt. Ltd.,IN
132091,ALPHAINFONETWORK-AS AlphaInfonet,IN
132112,TULIP-GLOBAL-PEERING Tulip IT Services Limited,IN
132114,TULIP-GLOBAL-MPLS Tulip IT Services Limited,IN
132115,ISPL-AS-AP INDINET SERVICE PRIVATE LIMITED,IN
132116,ANINETWORK-IN Ani Network Pvt Ltd,IN
